c1,c2,text,For Class
278661432,3/10/2018,". Once your next NRA check arrives, you'll forget this ""deep sadness"" for  as quickly as you forgot . Mr. President, how many children & veterans have to die so you can be rich?",y
2821330426,3/10/2018,77% of  support stricter gun laws. We stand with you,y
28707151,3/10/2018,What your bill DOESN??T DO Good start... DO MORE!,y
300956504,3/10/2018,Stirred hornets nest w    comments. Clearly 1) Twitter is terrible place for policy debate; 2) people prefer attack over meaningfun conversation; 3) we'll continue to have more dead bodies until we switch into problem solving mode.,y
3060124229,3/10/2018,What is your  on ? Do you support restrictions on ? Make your voice heard!,y
309963878,3/10/2018,Children without terminal illness should NOT be writing wills or having to think their death could be around the next corner.,y
31173825,3/10/2018,"you're on the right track, but arming teachers is not a good idea. Take that off the bill, add a ban for the AR-15, and you will be a hero.",y
334424918,3/10/2018,Outlawing assault weapons is no more a violation of the  than outlawing child pornography is a violation of the .,y
34315365,3/10/2018,"Could   be Trump's legacy? Too early to get one's hopes up, but this is a step in the right direction.",y
34845681,3/10/2018,_pinkfloyd The remix would include ??we don??t need no guns in class room; Hey teachers leave those guns at home??,y
353276915,3/10/2018,Not enough. But at least some  effort.,y
378004939,3/10/2018,"In  Gay, Black Democrats Ask GOP: Why No  After Violence In Our Communities?",y
38036176,3/10/2018,"   "", ""Join students across the country on March 24 in the  for  and against all of this NRA money in GOP congressmembers?? hands.  Go here and enter your ZIP Code or town to find a march near you:"", ""   "")",y
39334221,3/10/2018,The problem with  Laws is that Criminals & Mentality Evil DON??T CARE ABOUT GUN CONTROL LAWS.,y
39824470,3/10/2018,"??These conversations, every time after one of these shootings happen, are always way too temporary. I am determined; the kids from this school are determined. We are not going to let that happen this time.??",y
4491531140,3/10/2018,"The political calculus is quite simple. Fetus talk costs nothing. Protecting human lives much too costly.       "", ""Don't ban high capacity magazine assault rifles that shred organs. Focus on bump stock.       "", "" Shame that GOP fights for a fetus, but doesn't care about actual living human life       ""
)",y
485107834,3/10/2018,Congratulations to Florida for having a small shred of common sense this week.,y
49352200,3/10/2018,Exactly. These PREVENTABLE tragedies can happy ANYWHERE. Stopping the source is the ONLY answer.,y
50049805,3/10/2018,"A 72 hour grace period after buying a firearm will not prevent ""mass shootings"". These things have been shown time and again that they're planned out. These are seldom spur of the moment actions. Criminals will find a way to commit crimes. They are criminals.",y
53354865,3/10/2018,The lawsuit brought by the  against Florida??s new  law will be defended in court by FL AG . Bondi is former board chair of RAGA and her campaigns have been backed by the group. RAGA??s 2nd highest donor in 2017 was....the NRA.,y
53912059,3/10/2018,Being ??deeply saddened?? is not enough. More slaughter in USA and the prime cause is lack of gun control. Shocking. Doubly shocking because this doesn??t need to happen.,y
610919499,3/10/2018,"When I was in grade school, I often found spent bullet cartridges on the ground around our school. They had to put a huge fence around the school to protect us from guns.    "", ""When I was in grade school, one of my friends was grazed by a bullet when caught in the cross-fire of a drive-by outside our school. Another friend had his apartment shot at in a drive-by. Guns put lives at risk.    "", 
""I was in a building locked down during a shooting, and my mother and I were stalked by a man with a gun when I was in grade school. Believe me, some people should never have guns. They don't make us safe.    "", ""If guns don't kill, why do over 30,000 Americans die every year from gun violence?    "", ""Rather than desensitizing little children to the sounds of gun fire we should be preventing gun violence from ever happening in the first place.    "", 
""So we're trying to habituate and desensitize kids to the sounds of gun fire rather than trying to prevent the gun fire in the first place? This is incredibly wrong.    "", ""I have PTSD. Officers firing gunshots, even for these purposes, would not just scare me, they would trigger my flashbacks.    "")",y
7.07E+17,3/10/2018,Looks like  is really doing a great job of keeping guns out of the hands of the bad guys in England.,y
722799955,3/10/2018,"_Chandel    Just another day in America, I hope some day you people will finally follow us guys in UK and take action on  since Westminster, London passed 2 acts of Firearms amendment in 1997 there hasn't been a",y
7.42E+17,3/10/2018,"Apply for gun insurance thru the medical sector, and require it just like auto insurance. Creates jobs, helps catch the people we are worried about and covers victims and their families just like auto insurance   "", "" I know. I??m pissed how little attention this tragedy had. Especially as a veteran    "")",y
7.45E+17,3/10/2018,Suing because the min age to buy guns rose form 18 to 21? Say  isn't fighting this bcuz of profits for gun sellers/manufacturers. Don't c how raising min age prevents  but I can't c how this is anything other than for greed and corporate bottom lines,y
8.06E+17,3/10/2018,"  shooting  "", ""Tragically more lives lost unnecessarily because  extremists would rather support the  than human life. And these  politicians constantly preach pro-life, but don't give a shit about human life. Controling women + pure greed is what their agenda is. "")",y
8.07E+17,3/10/2018,We are not surprised high school activists are more than ready to take on the NRA. Young people are prepped and ready...,y
80901392,3/10/2018,"Please join GLIDE & our Janice Mirikitani Family, Youth and Childcare Center as we remember the  victims, & all victims of gun violence, in demanding smart, sensible  laws NOW. Proud of our FYCC kids & teachers!",y
8.27E+17,3/10/2018,"Paul Ryan needs time off to deal with his ""issues"": his blatant and destructive disregard for children's lives (), poor people (), needy people (), equality for all, his constituents, Wisconsin (), the USA...",y
8.28E+17,3/10/2018,"As a physician and wife, daughter, niece, cousin, friend of veterans and active duty service men and women, I am devastated by this tragic gun violence. We need to take better care of our vets & common sense gun reform",y
8.54E+17,3/10/2018,Point: they did take action?? But  is only 25% of the problem and doesn??t provide total protection. Other weapons as deadly!,y
8.86E+17,3/10/2018,Gun control is fading again in state legislatures all across America. Even my own Washington State dropped the ball. The NRA showers politicians with cash and our babies keep dying. How much longer are we going to tolerate this?,y
8.90E+17,3/10/2018,"are all over the place in this  conversation. Please don't use ""mental health issues,"" ""mentally ill,"" or ""mental illness"" interchangeably with ""dangerous."" At least 20% of America has some kind of mental illness, and we are NOT tainted.",y
9.24E+17,3/10/2018," Yes it will ABSOLUTELY UNDENIABLY. It could cripple them! Only way to get them is their wallets!           "", "" They're the ones that were looking death n the eye! They were the ones watching their friends and teachers die! They're the ones that live with the images n trauma for the rest of their lives! To think their voices don't matter is FUCKING IGN""
)",y
9.70E+17,3/10/2018,"As long as this is a starting point, and not the only step taken!",y
9.71E+17,3/10/2018,"This is what  advocates want. They??re happy to play the numbers game by driving their kids to school, putting them in danger because it is a risk they are accustomed to. They do not want to be inconvenienced by statistics.",y
973415772,3/10/2018," And there were no crimes or law enforcement property damaged. How could this be possible with so many gun toting rednecks all in one location?.. ohh that's right they're all law abiding!   hasn't &a"", ""Anybody else find it Really Ironic the past decade of shootings are only AR15s while the mass majority of ppl know shotgun or pistol is more effective close range for damage! Where George Soros what's he been up to?! Some real fishy stuff going on around  & ""
)",y
990324877,3/10/2018,"how much  did you use to hide this from the media? U continue to commit murders, anyone else would get 5 life sentences. Cowards u all are! Hide behind lawsuits and blood. Shame on you all and the politicians who sold their",y
1024179554,3/11/2018,"""A couple of mass shootings"" with ARs? Is that guy fucking kidding? Auroras, Sandy Hook, two of the worst in Florida, just for starters!",y
1123480609,3/11/2018,"Independent Schools of New England take full page ad in  calling for efforts to ""make  less vulnerable to violence"" - and reasonable .-",y
119922005,3/11/2018,This is so wrong in so many ways. Wake up America - until we have better gun control these senseless shootings are likely to continue.,y
125322205,3/11/2018,I believe the Teens will change the world - very excited to see their huge power on,y
13022562,3/11/2018,Plane ticket purchased. I will be marching for American lives on March 24.,y
1355929668,3/11/2018,"Times change, but democrats never really do..",y
140822682,3/11/2018,How the NRA uses jargon to bully  supporters,y
14189536,3/11/2018,"Okay NRA, if you don't like Florida's new gun law, offer a better alternative.",y
14529063,3/11/2018,"Harrold, Texas has teachers that carry guns to protect their school. And doesn't make the school feel like a prison at all to the students.",y
1497787496,3/11/2018,"Couldn??t he make exactly the same argument for gun manufacturers and gun dealers? They are making and selling products that are killing thousands of kids.  "", "" Couldn??t he make exactly the same argument for gun manufacturers and gun dealers? They are making and selling products that are killing thousands of kids.  "")",y
1546656000,3/11/2018,Yep. Not  but lefts agenda . Sad. Looks like  is just another static after all. No changes are being made ANYWHERE in our country to improve them. Misplaced focus,y
1556708424,3/11/2018,"Interesting, she says it??s the govt responsibility to keep us safe from gun violence? It is? Yet her solution is more govt who failed in the first place?",y
1579242810,3/11/2018,"_kasky As a parent, I fully support your battle for better gun control, and I applaud you for your bravery in standing up for a cause you believe in.",y
1606029594,3/11/2018,"More like when the anti-gun wingnuts boycott kroger, or any other place. Always seems to work out great, just not for the  crowd.",y
1663687578,3/11/2018,"Enforce  now! If the background check systems broke, fix it! Ask the NRA to pay for it with their blood money.",y
16747421,3/11/2018,aka    . A 3 year old shoots his 9 year old cousin. Who is responsible? The little boy? The owner of the gun? The laws that made that gun accessible to that child? The powers that control the laws? Y,y
179501264,3/11/2018,"If I'm being honest, I don't see how raising the gun age to 21 is going to help. I think lawmakers are just doing it to be like ""see! We did *something*""",y
18513241,3/11/2018,"Question for CA governor Jerry Brown: If enforcing federal  law is an \""act of war,\"" then enforcing a federal ban on semi-automatic weapons would also be an act of war, right?  "", ""How Many Lives Are Saved By Guns ?? And Why Don't Gun Controllers Care?  "", "": Obama is still repeating the completely debunked - and intentionally manipulated - claim that we've had 18 school shootings this year.  ""
)",y
1871420107,3/11/2018,Don??t f*%* with our 2nd amendment!,y
19037491,3/11/2018,"More than 1,000 people pack Hixson for ""Moms Demand Action"" meeting on gun violence. ""The Parkland, Florida school shooting massacre of 17 people is just the last straw for many Americans,"" said Morgan.",y
195045036,3/11/2018,"Fingers crossed for WI's CD01! Supporting . in the 14 Aug Democratic Primary Election! 24 yr teacher, mom, elected 2 school bd in Paul Ryan's home town, union leader, activist, progressive.",y
20449751,3/11/2018,Just like all the other times I see the  talk has faded away.,y
21115431,3/11/2018,Please made The  Promise to protect children from gun violence. Make yours at,y
2172706225,3/11/2018,Parents across the country are asking: what can I do to decrease ? It's easy. 1. REMOVE ALL GUNS FROM YOUR HOME 2. REMOVE ALL GUNS FROM YOUR HOME 3. VOTE FOR,y
2201782562,3/11/2018,"""They lived their lives selflessly to serve others & in particular to serve our ..."" Remembering the victims of the",y
2301628435,3/11/2018,"We need better  care, better laws on  & comprehensive medical help for all ! Let's vote in people who can help prevent tragedies like this in the future!",y
2318145036,3/11/2018,Let us not forget to support our kids on the  March on 24th 2018 If you can't physically March you know someone who can Let us get the guns taken off the streets & out of peoples hands who have no control,y
2369177203,3/11/2018,? More like gun confiscation. That's what many on the left want. That's why we need the,y
2491668756,3/11/2018,": \""They () are afraid that the government will come into their homes and take their guns. It is an unrealistic fear.\"" Slocum has received death threats due to her   legislation  "", "": \""If anything happens to the politicians or media that the  called out in their video, they will have blood on their hands.\"" Ref NRA video that threatens politicians & media    "", "": \""If it is 21 to have a beer, why is it so radical to be 21 to purchase a gun?\"" Topic  sure FL for new gun law    "", 
"": \""They () believe we should measure ourselves by how many guns we have, not how many children we lose.\""      "")",y
2497253862,3/11/2018,"_forest  And are its gun violence rates better than, for example in Europe -where guns are not forbidden but controlled? "", "": You do not ask teachers to shoot back, just as you do not expect policemen to teach. It simply makes no sense.   "")",y
253602252,3/11/2018,We don??t have to live with these weapons nor should we.,y
2592497046,3/11/2018,"If only the Left could truly obtain full  and ban all guns like the U.K., they could implement these same bullying tactics here in the U.S. and gain total control...Thank God for the 2nd Amendment (For now)",y
27193839,3/11/2018,Justice Department proposes banning rapid-fire bump stocks. Why weren't they already illegal?,y
2776376446,3/11/2018,".Must have been a rude awakening for a young man to realize that MSM journalists aren??t interested in facts or opinions, unless they fit the liberal narrative they??re pushing at the time.  is their goal and your views get in their way. Stand firm. Support",y
2955615302,3/11/2018,Arming teachers is not a solution. This is not the change that will save lives. Sad that ppl don??t get it. More guns doesn??t equal a better world. Ask the world!,y
2973323000,3/11/2018,"School Gun Attack Steps to Safety: 1) Run, 2) Hide, 3) Vote.",y
3011062804,3/11/2018,Using threats against those for gun control is showing exactly why we need,y
3064011446,3/11/2018,"You may be against the  and want to ban all guns. Even so, if the new FL gun law in violation of the 14th Amendment doesn't concern you, it should. A lot.",y
31621164,3/11/2018,"When asked about  back in October of 2017, just after  shot 600 people from a hotel room in Vegas,  talked about his support for a bill that did nothing to address gun violence. Typical Newhouse dodge.",y
3205232315,3/11/2018,"The People??s Organization For Progress (POP) supports the National School Walkout on March 14 to protest gun violence         "", ""We must ban military style assault rifles and high capacity magazines.   "")",y
32531887,3/11/2018,Know how I know the  is full of crap? They think 18 is mature enough to own as many guns as possible yet too young to speak out on important issues like . Because their only goal is selling more guns.,y
3259163534,3/11/2018,Glad to see I'm not the only one beating the drum about HR4909 with FiX-NICS SHOUT IT FROM THE ROOFTOPS THE VOTE IS NEXT WEEK!,y
3259435218,3/11/2018,"As an Anti-2A pro-gun grabbing jackass,  is a chickenshit coward who blocks people to avoid actual discussion of her worthless  viewpoint",y
3464260697,3/11/2018,"Pro-gun Jamie Gilt is shot by her four-year-old son in Putnam County, Florida | Daily Mail Online",y
353849714,3/11/2018,"To fight gun violence, we need LESS guns, not more We need better  We need to  We need a congress that will stand up to the  If the  won't cooperate, we'll",y
36139166,3/11/2018,we must stop this insanity,y
362229946,3/11/2018,"I've seen quite a few posts saying shit like ""obesity kills more people than guns...we should focus on that, not  "" But obesity isn't killing fucking CHILDREN, Carol. & someone else's obesity isn't killing anyone else?!?! Wtf. This is the logic we have to deal with?",y
3704931794,3/11/2018,Oh no look at how fast that weapon of war fires! We must ban assault pistols now!!,y
378385961,3/11/2018,Many mass gun assaults at US schools require school drills on surviving shootings & some educators worry students' march for  will 'disrupt' their education?!! What mental fog do these 'adults' inhabit?,y
384852760,3/11/2018,"What gun laws do is make criminal access to guns that much harder. Your false equivalency argument dies. Lift your head out of that  pit and look at how well  works for Canada, the UK, Nihon.. / h",y
390692637,3/11/2018,. Does this mean the draft age will also go to 21?  protests you can fight a war but can not have a drink or buy a gun?,y
408395872,3/11/2018,If you let 20 kids be shot by an assault rifle and do nothing to change the laws then you are guilty of murder........,y
41152007,3/11/2018,Fuck the NRA.,y
43377128,3/11/2018,"If ??killing our kids?? means the death penalty for drug dealers, it should also mean the death penalty for presidents, the NRA and congressmen who refuse to pass  laws and taking healthcare away, causing our kids to die.",y
44254190,3/11/2018,"Eliminate puppet politics: lobbyists to create interfacing technology to work w/federal background provide links to ICD-10 codes that, w/o violating HIPAA, flag to require further investigation & prevent guns put in wrong hands.",y
4491531140,3/11/2018,"As we approach the one-month anniversary of the Parkland mass shooting, notice not one politician talks about banning the weapon that makes these high death tolls possible",y
4602240394,3/11/2018,"I have to give credit to  for being the only republican Governor with the cohonas to stand up to the . Kudos brother! The new law is far from perfect, but its a good damn start!!!",y
47323271,3/11/2018,Praying for my fellow colleagues who were victims to this senseless violence.,y
473504980,3/11/2018,"So many things wrong with this video. One he describes the shooter as being a black male (how many mass shooters were black?! Don??t worry I??ll wait) two, this should??nt even have to be a drill",y
474899762,3/11/2018,_kasky _Milano As a Canadian this breaks my heart. As a father it makes me incredibly sad for the US. I have never in my children??s (now teenagers) lives ever worried about their safety at school. Ever. Not once. Not ever.,y
4872729485,3/11/2018,This is never ending. We need gun control NOW. NOT AFTER THOUGHTS AND PRAYERS. NOW!!!,y
561614650,3/11/2018,And  want them to vote   Creates Armbands to Advocate for  -,y
5746842,3/11/2018,The need for change is being heard - we must keep up the pressure,y
60961468,3/11/2018,"_News students are leading the way. So proud of my daughters speaking out.  Student walkouts have districts toeing a fine line between policy, rights",y
610375478,3/11/2018,In 1999  commented that mass murder in high schools was a natural occurrence and ??verged on trendy??. It??s been 19 years since then and  has done nothing to implement  What??s that say?,y
610919499,3/11/2018,"So harsh laws resulting in death are okay for drugs, but we shouldn't have gun control laws to prevent death?     "", ""Over 30,000 Americans dies every year due to guns. Here are upcoming dates where you can make a difference: National School Walk-out: March 14 March 24: March for our Lives April 20: Anniversary of Columbine    "")",y
618581414,3/11/2018,Time is Relative to everything we do in Life. Regardless of a Time Machine- We Watched Time Fly By and dd not Waste Time to Save that Time. We Let it Pass? Waste of Time-  and . Time is Running Out. Time cannot,y
621335481,3/11/2018,--&gt; _Guttenberg Parkland Shooting Victim's Father on Dedicating His Life to Fighting Gun Violence,y
64592238,3/11/2018,Went out of my way today to support  after they raised the age to purchase a gun to a more reasonable 21 years old.,y
741748003,3/11/2018,Brilliant: What If Buying a Gun Were Like Getting an Abortion?,y
7.44E+17,3/11/2018,"""People are realising  wld mean no more mass shootings; This is really bad for business!"" ""Here's a very stable genius thought: Let's make it a golden opportunity to sell more guns! (While blaming the victims & gun control advocates for 'exploiting Florida tragedy'..)""",y
754349774,3/11/2018,"One experience these kids have that these adults do not, is watching their classmates and teachers be slaughtered in front of their own eyes, fearing that they were next.",y
7.67E+17,3/11/2018,"Lawmakers, do your jobs and protect your people. Don't be afraid of the NRA. Don't be paid by the NRA. We have the right to life.       "", ""Don't be afraid of the NRA. What are they going to do? Lawsuits? Oppress the 1st Amendment for their twisted version of the 2nd Amendment?Fearlessly we can stand up to them and win our RIGHT TO BE ALIVE.      "")",y
78094182,3/11/2018,"THIS is real ! After One University Allows Guns On Campus, These Startling Results Have Liberals Slack-jawedvia _volve",y
81895098,3/11/2018,"Jaime Guttenberg could have been my daughter. She could have been yours. To do nothing and accept this as the new reality or, worse, to throw more weapons into the mix and think things will get better is irresponsible at best.",y
8.19E+17,3/11/2018,"I genuinely don't understand gun culture. To me, it looks like celebrating an instrument of death and human suffering. Why would anyone love that? Can someone explain the love of guns to me without rhetoric?",y
8.19E+17,3/11/2018,"John Wayne was a  advocate. Not many men had control over his gun like ""the Duke."" Having that kind of control can make a child like  feel inadequate and vulnerable. You know,  has to act like a man to con",y
8.25E+17,3/11/2018,"Who gives a crap? If we accidentally ban extra guns, that would be fine with most decent Americans.",y
8.30E+17,3/11/2018,Perspective | Gun rights are about keeping white men on topTruth.,y
8.38E+17,3/11/2018,"I will let this tweet speak for itself. Your gun fetish is a disease I can??t cure. The children who were shot at in Florida are being attacked by the nra and their crazed base like you. Shame on you !!!    "", ""Rabid gun defender quotes article about a BB gun killing an 8 year old girl. Hmmmm so death from other causes is a reason to allow weapons of war to be sold to civilians ? Their defenses have become comical   "", 
""These gun delusions get funnier and crazier by the day.    "", ""A gun crazed twitter maniac claiming the NRA has a 100 million members.  Also .... NRA Kills children "")",y
8.73E+17,3/11/2018,"_Milano Despite being a despicable comment against women, how exactly does that serve your argument? You like drug dealers having guns?",y
8.88E+17,3/11/2018,I wish there was an organization with a lot of resources that could promote meditation the way the NRA promotes guns.,y
8.94E+17,3/11/2018," People don??t hear way enough of this, of the ongoing trauma, fear, disabilities, the REAL costs of these daily shootings. Thank you for posting this. Instead of ignoring the outcomes, our nation needs to use justified anger to put in place"", ""       Courtlin Arrington must have been a wonderful soul who touched the lives of many.  "")",y
8.96E+17,3/11/2018,This makes 16 officers killed in the line of duty this year. Another reason to support gun control. It's not only kids being shot.,y
9.01E+17,3/11/2018,"WE ARE ALL PROUD OF YOU STUDENTS, WE HAVE YOUR BACK.",y
9.07E+17,3/11/2018,"AR-15 Sales are actually on the INCREASE after Florida                     "", ""A twin barrel AR-15. Seriously. Meet the Gilboa Snake that should go on sale soon.                    "", 
""A twin barrel AR-15. Seriously. Meet the Gilboa Snake that should go on sale soon.                    "", ""54% of Americans Want To Change The Gun Laws!                        "", 
""A twin barrel AR-15. Seriously. Meet the Gilboa Snake that should go on sale soon.                    "", ""AR-15 Sales are actually on the INCREASE after Florida                     ""
)",y
911187666,3/11/2018,You can feel his heartache in this article. As the parent of a teenager I can??t even imagine the pain.,y
9.18E+17,3/11/2018,Happening in Indiana right now. GOP bait and switch to prevent debate.    ( Sent from WTHR ),y
9.18E+17,3/11/2018,I was watching the Gunner and I couldn't help but wonder what your politics are on,y
9.30E+17,3/11/2018,"""It's easier to get a gun than it is to get a license."" Having a license isn't a right guaranteed by the United States Constitution. Owning and carrying a firearm, is.",y
9.48E+17,3/11/2018,"This is disturbing in so many ways.  This CAN NOT be the new norm! My God this is heartbreaking. We must continue to come together as a Nation, despite race for the sake our children and their future!  My heart is broken by this drill...",y
9.49E+17,3/11/2018,This just proves that the  are a party of hatred as they have people like this wearing similar clothing to Nazis and spouting visceral. More evidence of  and  is the first step to an .,y
9.55E+17,3/11/2018,"If 18 year-olds have a constitutional right to own a military rifle, and they can be  then they have an equal right to drink! ! Let's make this go !         "", ""If 18 year-olds have a constitutional right to own a military rifle, then they have a constitutional right to buy beer and whiskey, too! Get busy,    ! ! Let's make this go !    ""
)",y
9.56E+17,3/11/2018,"It is statistically safer for anyone in the US to sit in metal tube traveling near the speed of sound, 20,000 feet in the air then it is for a child to learn in a classroom! LET THAT SINK IN.      "", ""It??s safer for anyone to sit in metal tube traveling near the speed of sound, 20,000 feet in the air then it is for a child to learn in a classroom! LET THAT SINK IN.      ""
)",y
9.60E+17,3/11/2018,The NRA is a terrorist organization repeat thw NRA is a terrorist organization,y
9.69E+17,3/11/2018,"Should go back to the Brady Bill. No AR's, no magazines with a capacity more than 10 rounds.    need to act.",y
9.71E+17,3/11/2018,this is inane. Kids can't buy cigarettes until 21 for their health. So what's the beef with being consistent with our guidelines.,y
97911392,3/11/2018,Gun control and proper Police training needed!,y
